Weather_Secondary_ID,Precipitation_in,Dew_Point,Pressure_Hg
1,0,49.68,29.93
2,0,70.13,30.06
3,0.22,66.07,30.08
4,0,46.92,29.87
5,0,54.83,29.99
6,0,60.69,30
7,0.75,72.64,30.08
8,0,60.04,30.21
9,0,60.04,30.21
10,0,54.07,30.25
11,0.02,69.83,28.92
12,0.49,69.55,29.21
13,0,71,30.04
14,0.07,73.86,29.97
15,0,66.96,30.04
16,0,57.92,29.89
17,0,76.96,29.87
18,0.08,58.92,29.93
19,0.01,46.88,29.75
20,0,51.23,29.91
21,0.01,58.13,29.92
22,0,74.5,30.12
23,1.27,59.97,29.79
24,1.27,59.97,29.79
25,1.47,60.24,29.67
26,0,67.96,28.97
27,0.19,60.92,29.22
28,0,77.04,30.03
29,0,67.96,29.96
30,0,69.5,29.96
31,0,56.67,30.04
32,0,76.15,29.97
33,0,72.73,30.07
34,0,53.46,29.61
35,0,50.96,29.97
36,0,56.85,29.96
37,1.47,73.83,30.04
38,0,64,30.11
39,0,64,30.11
40,0,61.71,30.11
41,0,69.4,28.99
42,0,69.34,29.29
43,0,74.58,30.06
44,0.16,76.35,30.04
45,0,70.54,29.93
46,0,43.86,30.24
47,0,73.04,30.07
48,0,63.46,30.28
49,0,54.85,29.8
50,0,54.69,30.05
51,0,67.45,29.98
52,1.7,72.68,30.16
53,0,62.85,30.25
54,0,62.85,30.25
55,0,60.63,30.28
56,0,60.88,29.21
57,0,60.04,29.52
58,0.08,72.58,30.22
59,0,65.96,30.23
60,0,66.79,30.05
61,0,59.72,.
62,0,72.54,29.96
63,0,67.13,29.93
64,0,37.54,29.66
65,0,44.6,30.05
66,0,54.96,29.94
67,0.02,72.95,29.93
68,0,65.59,29.94
69,0,65.59,29.94
70,0,59.58,30.05
71,0,66.08,29.01
72,0,69.38,29.37
73,0,73.29,30.02
74,0,70.21,30.03
75,0.1,69.92,29.96
76,0,31.83,30.01
77,0.03,56.25,29.85
78,0,35.75,30.05
79,0.15,45.31,29.46
80,0,49.32,30.09
81,0,57.83,29.93
82,0.05,74,29.94
83,0,38.54,30
84,0,38.54,30
85,0,37.35,29.9
86,0,41.17,28.95
87,0,38.71,29.27
88,0,57.34,29.91
89,0,43.5,30.02
90,0.01,68.04,30.07
91,0,27.11,30.25
92,0,36.46,30.36
93,1,30.46,30.3
94,0,35.54,30
95,0,33.25,30.17
96,0,33.88,30.07
97,0,71.85,30.07
98,0.2,36.71,30.22
99,0.2,36.71,30.22
100,0.07,37,30.18
101,0.2,31.38,29.19
102,0.76,32.56,29.47
103,0.22,35.33,30.4
104,0.46,41.12,30.2
105,0,68.04,29.9
106,0,23.1,30.25
107,0.19,38.52,30.35
108,0,27.46,30.3
109,0,46.47,29.8
110,0,51.54,30.22
111,0,57.56,30.1
112,0.27,69.61,29.99
113,0,22.25,30.26
114,0,22.25,30.26
115,0,23.92,30.23
116,0.43,42.33,29.1
117,0.01,30.88,29.46
118,0.05,37.62,30.28
119,0.29,49.26,30.15
120,0,70.52,30.01
121,0,19.13,30.47
122,0,44.5,30.33
123,0.32,23,30.52
124,0.08,34.78,29.51
125,0.03,45.23,30.15
126,0,45.42,30.05
127,0,52.08,30.32
128,0,20.35,30.37
129,0,20.35,30.37
130,0.02,22.44,30.15
131,0,25.29,29.34
132,0.09,24.79,29.65
133,0,38.79,30.48
134,0,32.63,30.44
135,0,62.26,30.08
136,0,31.47,30.29
137,0,39.4,30.15
138,0,34.83,30.33
139,1.14,46.48,29.54
140,0,49.59,30.19
141,0,54.49,30.02
142,0.31,61.63,30.06
143,0,28.54,30.38
144,0,28.54,30.38
145,0,27.63,30.42
146,0.83,41.53,28.97
147,0.25,43.24,29.39
148,0.34,42.96,30.15
149,0,55.32,30.11
150,0,63.17,30.1
151,0,32.15,29.89
152,0,59.28,29.95
153,0.01,37,29.94
154,0.07,33.67,29.99
155,0,25.96,30.19
156,0,33.04,29.97
157,0,47.75,30.23
158,0.05,33.08,29.85
159,0.05,33.08,29.85
160,0,26.5,29.89
161,0,36.46,29.02
162,0,36.17,29.25
163,0,54.79,30.13
164,0,43.79,30.06
165,0,62.17,30.02
166,0,17.72,30.38
167,0,53.48,30.18
168,0.01,23.54,30.43
169,0,26.58,29.87
170,0,43.08,30.14
171,0,54.15,30.09
172,0,68.31,30.19
173,0,21.58,30.37
174,0,21.58,30.37
175,0.45,18.96,30.3
176,2.37,48.07,29.22
177,0.36,44.19,29.58
178,0,63.48,30.25
179,0.76,54.32,30.33
180,0,64.08,30.19
181,0,22.34,30.15
182,0,44.56,30.28
183,0,27.92,30.19
184,0,38.81,29.6
185,0,47.27,30.17
186,0,56.35,30.16
187,0,69.42,30.09
188,0,25.38,30.13
189,0,25.38,30.13
190,0,20.6,30.11
191,1.84,47.29,28.98
192,0,44.52,29.33
193,0.13,53.65,30.22
194,0.44,48.76,30.13
195,0,63.88,30.1
196,0,22.04,30.55
197,0.14,63.53,30.14
198,0,27.88,30.59
199,0,38.48,29.72
200,0,46.76,30.11
201,0,52.4,30.15
202,0,64.63,30.23
203,0,15.17,30.68
204,0,15.17,30.68
205,0,9.88,30.73
206,0,48.42,29.21
207,0,43.71,29.62
208,0.02,63.32,30.26
209,0,49.3,30.34
210,0,62.88,30.13
211,0,38.81,29.53
212,0,69.11,29.94
213,0.14,45.48,31
214,0,36.88,29.74
215,0,48.59,30.09
216,0.11,52,30.15
217,0,70.03,29.94
218,0,41.38,29.6
219,0,41.38,29.6
220,0.03,40.47,29.6
221,0.2,55.18,28.74
222,0.11,47.14,28.89
223,0,71.19,29.91
224,0.04,58.65,29.69
225,0.59,64.71,30.01
226,0,38.19,30.17
227,0,72.38,29.97
228,0,42.76,30.22
229,0.01,45.25,29.79
230,0,51.56,30.12
231,0,58.81,30
232,0,59.21,30.16
233,0,33.96,30.13
234,0,33.96,30.13
235,0.53,32.81,30.16
236,0,44.16,29.11
237,0,41.88,29.39
238,0,62.03,30.12
239,0,52.38,30.19
240,0.01,63.29,30.14